 
  >> Using map h1_nh_HI4PI.fits
 
 LII , BII   8.860643   49.256719
 Requested position at X and Y pixel  1869.69   1547.38
  WARNING:  Input size  1.00 < distance  2.500
  Set size == distance
 
 Search nH in 30 X 30 pixels box
 Each pixel is  0.083 deg 0.083 deg
 
     RA       DEC      Dist(deg)        nH
  229.7795   5.8263   0.4152    3.38E+20
  229.7345   5.7650   0.4689    3.41E+20
  229.6895   5.7038   0.5280    3.44E+20
  229.6444   5.6427   0.5909    3.49E+20
  229.5992   5.5815   0.6565    3.53E+20
  229.5540   5.5205   0.7241    3.54E+20
  229.5086   5.4595   0.7931    3.53E+20
  229.4632   5.3986   0.8632    3.52E+20
  229.4178   5.3377   0.9342    3.55E+20
  229.3722   5.2769   1.0058    3.60E+20
  229.3266   5.2162   1.0780    3.66E+20
  229.2809   5.1555   1.1506    3.72E+20
  230.5052   6.9989   1.1158    2.77E+20
  230.4616   6.9366   1.0416    2.82E+20
  230.4180   6.8743   0.9677    2.85E+20
  230.3742   6.8121   0.8940    2.87E+20
  230.3304   6.7500   0.8208    2.88E+20
  230.2866   6.6879   0.7481    2.88E+20
  230.2426   6.6259   0.6760    2.90E+20
  230.1986   6.5639   0.6048    2.92E+20
  230.1545   6.5020   0.5349    2.93E+20
  230.1103   6.4401   0.4668    2.95E+20
  230.0661   6.3783   0.4015    2.97E+20
  230.0217   6.3166   0.3404    2.99E+20
  229.9773   6.2549   0.2865    3.02E+20
  229.9329   6.1933   0.2444    3.07E+20
  229.8883   6.1317   0.2210    3.13E+20
  229.8437   6.0702   0.2224    3.20E+20
  229.7990   6.0088   0.2479    3.25E+20
  229.7542   5.9474   0.2915    3.29E+20
  229.7094   5.8861   0.3463    3.32E+20
  229.6645   5.8248   0.4078    3.34E+20
  229.6195   5.7636   0.4735    3.37E+20
  229.5744   5.7024   0.5417    3.41E+20
  229.5292   5.6414   0.6118    3.46E+20
  229.4840   5.5803   0.6830    3.48E+20
  229.4387   5.5194   0.7550    3.47E+20
  229.3933   5.4584   0.8278    3.47E+20
  229.3479   5.3976   0.9009    3.49E+20
  229.3024   5.3368   0.9745    3.54E+20
  229.2568   5.2761   1.0484    3.61E+20
  229.2111   5.2154   1.1225    3.67E+20
  230.4346   7.0585   1.1095    2.74E+20
  230.3910   6.9962   1.0343    2.77E+20
  230.3474   6.9339   0.9591    2.80E+20
  230.3037   6.8717   0.8841    2.83E+20
  230.2599   6.8096   0.8091    2.84E+20
  230.2161   6.7475   0.7344    2.84E+20
  230.1722   6.6855   0.6599    2.85E+20
  230.1282   6.6236   0.5857    2.86E+20
  230.0841   6.5617   0.5121    2.87E+20
  230.0399   6.4998   0.4391    2.88E+20
  229.9957   6.4380   0.3672    2.89E+20
  229.9514   6.3763   0.2973    2.91E+20
  229.9070   6.3146   0.2310    2.93E+20
  229.8626   6.2530   0.1728    2.96E+20
  229.8181   6.1915   0.1335    3.01E+20
  229.7735   6.1300   0.1313    3.09E+20
  229.7288   6.0686   0.1678    3.16E+20
  229.6841   6.0072   0.2247    3.23E+20
  229.6392   5.9459   0.2904    3.28E+20
  229.5943   5.8846   0.3600    3.29E+20
  229.5494   5.8234   0.4317    3.30E+20
  229.5043   5.7623   0.5046    3.32E+20
  229.4592   5.7012   0.5782    3.36E+20
  229.4140   5.6402   0.6522    3.41E+20
  229.3687   5.5792   0.7266    3.43E+20
  229.3234   5.5183   0.8013    3.44E+20
  229.2780   5.4575   0.8761    3.46E+20
  229.2325   5.3967   0.9510    3.51E+20
  229.1869   5.3360   1.0261    3.58E+20
  229.1412   5.2753   1.1012    3.65E+20
  230.3639   7.1181   1.1109    2.74E+20
  230.3204   7.0558   1.0351    2.75E+20
  230.2768   6.9936   0.9594    2.77E+20
  230.2331   6.9314   0.8836    2.80E+20
  230.1894   6.8693   0.8079    2.81E+20
  230.1455   6.8072   0.7321    2.81E+20
  230.1016   6.7452   0.6564    2.80E+20
  230.0577   6.6833   0.5808    2.80E+20
  230.0136   6.6214   0.5052    2.80E+20
  229.9695   6.5595   0.4296    2.81E+20
  229.9253   6.4978   0.3541    2.82E+20
  229.8811   6.4360   0.2788    2.84E+20
  229.8367   6.3744   0.2039    2.85E+20
  229.7923   6.3128   0.1299    2.87E+20
  229.7478   6.2512   0.0606    2.92E+20
  229.7032   6.1898   0.0441    2.98E+20
  229.6586   6.1283   0.1081    3.07E+20
  229.6139   6.0670   0.1814    3.15E+20
  229.5691   6.0057   0.2562    3.20E+20
  229.5242   5.9444   0.3314    3.23E+20
  229.4793   5.8832   0.4068    3.23E+20
  229.4342   5.8221   0.4823    3.23E+20
  229.3891   5.7610   0.5578    3.26E+20
  229.3440   5.7000   0.6334    3.31E+20
  229.2987   5.6391   0.7090    3.36E+20
  229.2534   5.5782   0.7847    3.40E+20
  229.2080   5.5174   0.8603    3.43E+20
  229.1625   5.4566   0.9360    3.49E+20
  229.1170   5.3959   1.0116    3.56E+20
  229.0713   5.3352   1.0873    3.64E+20
  230.2932   7.1777   1.1199    2.77E+20
  230.2497   7.1154   1.0441    2.77E+20
  230.2061   7.0532   0.9684    2.77E+20
  230.1625   6.9911   0.8927    2.79E+20
  230.1188   6.9289   0.8170    2.80E+20
  230.0750   6.8669   0.7414    2.79E+20
  230.0311   6.8049   0.6658    2.77E+20
  229.9872   6.7430   0.5903    2.75E+20
  229.9432   6.6811   0.5149    2.73E+20
  229.8991   6.6193   0.4396    2.73E+20
  229.8549   6.5575   0.3645    2.74E+20
  229.8107   6.4958   0.2899    2.77E+20
  229.7663   6.4341   0.2160    2.79E+20
  229.7219   6.3726   0.1442    2.81E+20
  229.6775   6.3110   0.0802    2.85E+20
  229.6329   6.2496   0.0595    2.90E+20
  229.5883   6.1881   0.1102    2.97E+20
  229.5436   6.1268   0.1795    3.04E+20
  229.4989   6.0655   0.2526    3.09E+20
  229.4540   6.0043   0.3269    3.13E+20
  229.4091   5.9431   0.4017    3.14E+20
  229.3641   5.8820   0.4769    3.15E+20
